ID;AT;SIL;ARG;AD
ZARC_332;4;58;38;0,226
ZARC_333;11;51;38;0,197
ZARC_334;7;55;38;0,23
ZARC_335;56;6;38;0,186
ZARC_336;51;11;38;0,127
ZARC_337;48;14;38;0,121
ZARC_338;45;17;38;0,12
ZARC_339;43;19;38;0,09
ZARC_340;32;30;38;0,09
ZARC_341;58;4;38;0,083
ZARC_342;54;8;38;0,067
ZARC_343;9;53;38;0,168
ZARC_344;16;46;38;0,152
ZARC_345;10;53;37;0,249
ZARC_346;34;29;37;0,215
ZARC_347;10;53;37;0,209
ZARC_348;19;44;37;0,168
ZARC_349;41;22;37;0,125
ZARC_350;59;4;37;0,116
ZARC_351;9;54;37;0,116
ZARC_352;55;8;37;0,112
ZARC_353;57;6;37;0,109
ZARC_354;31;32;37;0,102
ZARC_355;39;24;37;0,1
ZARC_356;23;40;37;0,097
ZARC_357;56;7;37;0,085
ZARC_358;49;14;37;0,083
ZARC_359;9;54;37;0,218
ZARC_360;23;40;37;0,189
ZARC_361;6;57;37;0,222
ZARC_362;15;49;36;0,192
ZARC_363;1;63;36;0,219
ZARC_364;1;63;36;0,202
ZARC_365;51;13;36;0,2
ZARC_366;20;44;36;0,16
ZARC_367;22;42;36;0,145
ZARC_368;48;16;36;0,114
ZARC_369;59;5;36;0,111
ZARC_370;23;41;36;0,11
ZARC_371;41;23;36;0,101
ZARC_372;47;17;36;0,1
ZARC_373;28;36;36;0,1
ZARC_374;42;22;36;0,091
ZARC_375;52;12;36;0,09
ZARC_376;45;19;36;0,085
ZARC_377;54;10;36;0,078
ZARC_378;55;9;36;0,065
ZARC_379;56;8;36;0,06
ZARC_380;8;56;36;0,194
ZARC_381;16;48;36;0,126
ZARC_382;13;51;36;0,103
ZARC_383;6;59;35;0,128
ZARC_384;5;60;35;0,199
ZARC_385;19;46;35;0,178
ZARC_386;51;14;35;0,135
ZARC_387;53;12;35;0,115
ZARC_388;37;28;35;0,111
ZARC_389;49;16;35;0,101
ZARC_390;32;33;35;0,1
ZARC_391;52;13;35;0,08
ZARC_392;38;27;35;0,08
ZARC_393;56;9;35;0,066
ZARC_394;57;8;35;0,06
ZARC_395;43;22;35;0,053
ZARC_396;50;15;35;0,04
ZARC_397;15;50;35;0,127
ZARC_398;3;63;34;0,146
ZARC_399;20;46;34;0,136
ZARC_400;14;52;34;0,176
ZARC_401;21;45;34;0,161
ZARC_402;56;10;34;0,241
ZARC_403;12;54;34;0,2
ZARC_404;64;2;34;0,187
ZARC_405;11;55;34;0,17
ZARC_406;51;15;34;0,169
ZARC_407;4;62;34;0,15
ZARC_408;12;54;34;0,127
ZARC_409;4;62;34;0,113
ZARC_410;49;17;34;0,104
ZARC_411;54;12;34;0,091
ZARC_412;47;19;34;0,073
ZARC_413;11;55;34;0,223
