"";"ID";"AT";"ARG";"SIL";"AD";"fit.m1";"fit.m2";"res.m1";"res.m2"
"83";"ZARC_83";27;64;9;0,86;1,00382541385961;1,01620942362426;-0,143825413859607;-0,156209423624256
"84";"ZARC_84";27;64;9;0,86;1,00382541385961;1,01620942362426;-0,143825413859607;-0,156209423624256
"85";"ZARC_85";6;64;30;0,85;1,18361001787247;1,15506951574535;-0,333610017872472;-0,305069515745345
"86";"ZARC_86";6;64;30;0,85;1,18361001787247;1,15506951574535;-0,333610017872472;-0,305069515745345
"87";"ZARC_87";25;64;11;0,8;0,999187721650557;1,00342242392024;-0,199187721650557;-0,203422423920236
"88";"ZARC_88";27;63;10;0,81;1,00870656686138;1,01744476247658;-0,198706566861383;-0,207444762476581
"89";"ZARC_89";26;62;12;1,49;1,01336291387053;1,01456164813523;0,47663708612947;0,475438351864771
"90";"ZARC_90";20;62;18;1,09;1,03214661889962;1,01375300790541;0,0578533811003785;0,076246992094595
"91";"ZARC_91";29;62;9;0,74;1,01888063330375;1,03238817367658;-0,278880633303753;-0,292388173676585
"92";"ZARC_92";0;62;38;1,61;1,38190628058325;1,38014482547472;0,228093719416749;0,229855174525279
"93";"ZARC_93";0;62;38;1,45;1,38190628058325;1,38014482547472;0,0680937194167493;0,0698551745252789
"94";"ZARC_94";18;61;21;0,78;1,06183818881228;1,0357504705012;-0,281838188812279;-0,2557504705012
"95";"ZARC_95";22;61;17;0,73;1,03240309945381;1,01677853244089;-0,302403099453807;-0,28677853244089
"96";"ZARC_96";22;61;17;0,92;1,03240309945381;1,01677853244089;-0,112403099453807;-0,0967785324408899
"97";"ZARC_97";20;61;19;0,81;1,04495267094603;1,02371244500163;-0,234952670946026;-0,213712445001626
"98";"ZARC_98";22;61;17;0,92;1,03240309945381;1,01677853244089;-0,112403099453807;-0,0967785324408899
"99";"ZARC_99";26;61;13;1,15;1,02031179559147;1,01800741132618;0,12968820440853;0,131992588673818
"100";"ZARC_100";4;60;36;1,07;1,32631370381557;1,30444333072726;-0,256313703815569;-0,234443330727257
"101";"ZARC_101";28;60;12;1,29;1,02613359291183;1,02777844399138;0,263866407088166;0,26222155600862
"102";"ZARC_102";26;60;14;1,26;1,02775027225062;1,02194523188856;0,232249727749379;0,238054768111444
"103";"ZARC_103";28;60;12;1,06;1,02613359291183;1,02777844399138;0,0338664070881661;0,0322215560086201
"104";"ZARC_104";14;60;26;1,09;1,12678942609553;1,09180862882803;-0,0367894260955253;-0,00180862882803101
"105";"ZARC_105";14;60;26;1,09;1,12678942609553;1,09180862882803;-0,0367894260955253;-0,00180862882803101
"106";"ZARC_106";14;60;26;1,05;1,12678942609553;1,09180862882803;-0,0767894260955253;-0,041808628828031
"107";"ZARC_107";27;60;13;0,9;1,02641015235615;1,0242431548901;-0,126410152356155;-0,124243154890103
"108";"ZARC_108";27;60;13;0,9;1,02641015235615;1,0242431548901;-0,126410152356155;-0,124243154890103
"109";"ZARC_109";27;60;13;0,88;1,02641015235615;1,0242431548901;-0,146410152356155;-0,144243154890103
"110";"ZARC_110";20;60;20;0,87;1,05812576107046;1,03404400260278;-0,188125761070462;-0,164044002602778
"111";"ZARC_111";29;59;12;1,27;1,03176688427706;1,03351076733937;0,238233115722938;0,236489232660626
"112";"ZARC_112";21;59;20;1,1;1,06306012926848;1,03864140207605;0,0369398707315173;0,0613585979239533
"113";"ZARC_113";27;58;15;1,84;1,04076264809387;1,0313756040015;0,799237351906126;0,808624395998498
"114";"ZARC_114";14;58;28;1,2;1,16386759460636;1,12501655617402;0,0361324053936431;0,0749834438259778
"115";"ZARC_115";9;58;33;1,09;1,25723751831114;1,22056432341352;-0,167237518311138;-0,130564323413521
"116";"ZARC_116";23;58;19;0,91;1,06023234623311;1,03820235106037;-0,150232346233107;-0,128202351060368
"117";"ZARC_117";20;58;22;0,88;1,08557305555343;1,0558482836889;-0,205573055553425;-0,175848283688904
"118";"ZARC_118";27;57;16;1;1,04870392758509;1,03573148303387;-0,0487039275850946;-0,0357314830338693
"119";"ZARC_119";23;57;20;0,83;1,0719149967944;1,04674629677102;-0,241914996794398;-0,216746296771017
"120";"ZARC_120";37;56;7;1,2;1,05870830026151;1,08225258598884;0,141291699738492;0,117747414011161
"121";"ZARC_121";8;56;36;1,2;1,32470568518957;1,28928137247753;-0,124705685189571;-0,0892813724775263
"122";"ZARC_122";26;56;18;0,9;1,06240012826933;1,04269594277023;-0,162400128269332;-0,142695942770232
"123";"ZARC_123";28;55;17;1,29;1,06090794973831;1,04403282776507;0,229092050261691;0,245967172234931
"124";"ZARC_124";24;55;21;1,16;1,08751092843408;1,05871999983038;0,0724890715659219;0,101280000169615
"125";"ZARC_125";39;55;6;1;1,06706771132453;1,09512464251314;-0,06706771132453;-0,0951246425131418
"126";"ZARC_126";30;55;15;0,8;1,05337503879039;1,04330555931954;-0,253375038790394;-0,243305559319536
"127";"ZARC_127";3;55;42;1,24;1,47955187158555;1,46911679200509;-0,239551871585552;-0,229116792005087
"128";"ZARC_128";31;54;15;0,85;1,05669899500885;1,04624915351448;-0,20669899500885;-0,196249153514479
"129";"ZARC_129";25;53;22;1,02;1,10240785535004;1,06984051837861;-0,0824078553500408;-0,0498405183786101
"130";"ZARC_130";18;53;29;1,02;1,19034114136312;1,14437861026597;-0,170341141363116;-0,124378610265967
"131";"ZARC_131";39;53;8;1,01;1,06186616797433;1,07888397955549;-0,0518661679743308;-0,0688839795554932
"132";"ZARC_132";16;53;31;0,92;1,22375013438627;1,17631891268139;-0,303750134386266;-0,256318912681385
"133";"ZARC_133";26;53;21;0,83;1,09352826713458;1,06364746470725;-0,263528267134579;-0,233647464707248
"134";"ZARC_134";33;52;15;1,4;1,06202664642518;1,05056894555465;0,337973353574817;0,34943105444535
"135";"ZARC_135";41;52;7;1,12;1,06705645962036;1,08767959545752;0,0529435403796447;0,0323204045424841
"136";"ZARC_136";13;52;35;1;1,30149447834397;1,25337829422578;-0,301494478343971;-0,253378294225782
"137";"ZARC_137";26;52;22;0,99;1,10488350329942;1,0716897221098;-0,114883503299417;-0,0816897221097979
"138";"ZARC_138";24;52;24;0,9;1,12522968127834;1,08705204523929;-0,225229681278343;-0,187052045239293
"139";"ZARC_139";25;52;23;0,83;1,11460651663726;1,07883891969861;-0,284606516637261;-0,248838919698607
"140";"ZARC_140";4;51;45;1,33;1,55195711730455;1,5396993653002;-0,221957117304555;-0,209699365300198
"141";"ZARC_141";8;51;41;1,59;1,44115450556686;1,40535958164649;0,148845494433141;0,184640418353507
"142";"ZARC_142";33;51;16;1,04;1,06753855266092;1,05201492683206;-0,0275385526609246;-0,0120149268320588
"143";"ZARC_143";17;51;32;1,03;1,24331255100973;1,19237061924931;-0,213312551009728;-0,162370619249314
"144";"ZARC_144";30;51;19;0,98;1,08334153673376;1,05814117947108;-0,103341536733764;-0,0781411794710787
"145";"ZARC_145";15;51;34;0,97;1,28111935368108;1,23015676508817;-0,311119353681077;-0,260156765088166
"146";"ZARC_146";31;51;18;0,96;1,07719415021628;1,05511225022844;-0,117194150216276;-0,0951122502284356
"147";"ZARC_147";38;51;11;0,83;1,05879474907036;1,06149404051241;-0,228794749070358;-0,231494040512408
"148";"ZARC_148";34;51;15;0,8;1,06403034162306;1,05194097348875;-0,264030341623061;-0,251940973488747
"149";"ZARC_149";16;50;34;1,28;1,28121706771193;1,22834522733421;-0,00121706771192986;0,0516547726657868
"150";"ZARC_150";18;50;32;1,09;1,2439118141262;1,1914322461916;-0,153911814126196;-0,101432246191597
"151";"ZARC_151";17;50;33;1,03;1,26213479141081;1,20927794844648;-0,232134791410808;-0,179277948446476
"152";"ZARC_152";14;50;36;1,03;1,32195951736371;1,2702758027407;-0,29195951736371;-0,240275802740699
"153";"ZARC_153";25;50;25;0,99;1,14041134559624;1,09841020814173;-0,150411345596243;-0,108410208141734
"154";"ZARC_154";13;50;37;0,98;1,34361969071437;1,29320983875767;-0,363619690714368;-0,313209838757673
"155";"ZARC_155";31;50;19;0,94;1,08520931992881;1,05937104638079;-0,145209319928807;-0,119371046380789
"156";"ZARC_156";27;50;23;0,92;1,11857347430772;1,08141592793752;-0,198573474307718;-0,161415927937517
"157";"ZARC_157";29;50;21;0,91;1,10017279908524;1,06843289207481;-0,190172799085239;-0,158432892074812
"158";"ZARC_158";35;50;15;0,88;1,06559394981408;1,05278582166433;-0,185593949814081;-0,172785821664333
"159";"ZARC_159";30;50;20;0,67;1,09226140999877;1,06341638639314;-0,422261409998767;-0,393416386393142
"160";"ZARC_160";39;50;11;0,55;1,05972736396354;1,06147675355838;-0,50972736396354;-0,511476753558382
"161";"ZARC_161";8;50;42;1,93;1,46481004271533;1,42917324037305;0,465189957284672;0,500826759626951
"162";"ZARC_162";41;49;10;2,44;1,06059054852882;1,06506081876467;1,37940945147118;1,37493918123533
"163";"ZARC_163";11;49;40;1,97;1,41192941077592;1,3650819161807;0,558070589224079;0,604918083819296
"164";"ZARC_164";17;49;34;1,17;1,28126279145983;1,22658395355246;-0,111262791459828;-0,0565839535524617
